text;amount;count_adults;count_children;start_date;nights;price_per_day;remarks
Ищу квартиру для семьи из четырех человек с 2026-06-01 на 7 ночей, до 4500 рублей в сутки.;4;2;2;2026-06-01;7;4500;
Нужна студия для проживания одного человека рядом с метро с 5 июня 2026 на 3 ночи, бюджет 3000 в сутки.;1;1;0;2026-06-05;3;3000;рядом с метро
Требуется двухкомнатная квартира для молодой пары с 2026-07-10 на неделю, до 5000 рублей за день.;2;2;0;2026-07-10;7;5000;
Снимем жилье для троих студентов на учебный год, заезд 2026-09-01, цена до 2500 рублей в сутки.;3;3;0;2026-09-01;365;2500;на учебный год
Семья с двумя детьми ищет просторную квартиру с 12.08.2026 на 10 ночей, нужна детская кроватка.;4;2;2;2026-08-12;10;;детская кроватка
Один специалист ищет апартаменты на 2 ночи с 2026-06-15, желательно с парковкой, до 6000 в сутки.;1;1;0;2026-06-15;2;6000;парковка
Молодая пара с ребенком снимет квартиру с 2026-07-01 на 5-7 дней, бюджет 4000-5500 рублей в сутки.;3;2;1;2026-07-01;7;5500;
Четверо туристов ищут жилье с 20 июля 2026 на 4 ночи, можно с собакой, до 7000 за сутки.;4;4;0;2026-07-20;4;7000;можно с собакой
Семья с одним ребенком и кошкой ищет квартиру с 2026-08-03 на 6 ночей, до 4800 рублей в сутки.;3;2;1;2026-08-03;6;4800;кошка
Нужна квартира для двух коллег с 2026-06-22 на 1 ночь, цена до 3500 рублей.;2;2;0;2026-06-22;1;3500;
Пятеро друзей ищут дом на выходные с 2026-09-12 по 2026-09-14, мангал обязателен.;5;5;0;2026-09-12;2;;мангал
Семейная пара с двумя детьми и младенцем ищет жилье с 2026-10-01 на 14 ночей, нужна детская кроватка.;5;2;3;2026-10-01;14;;детская кроватка
Ищу комнату для себя на 30 дней с 2026-11-01, бюджет 1500 рублей в сутки.;1;1;0;2026-11-01;30;1500;
Двое взрослых и один подросток снимут квартиру с 2026-12-25 на 8 ночей, до 8000 в сутки.;3;3;0;2026-12-25;8;8000;
Компания из шести человек ищет коттедж с 2026-08-20 на 3-5 ночей, цена 10000-12000 рублей за сутки, нужен бассейн.;6;6;0;2026-08-20;5;12000;бассейн
